"ID_1","InterviewDate","InterviewType","BusinessSuccess","BusinessProfitability","WouldMigrateAgain","SituationWithoutSupport","ReturningWasGoodDecision","SatisfiedWithReintegrationSupport","Country","CountryOfReturn","Gender","AgeGroup","MigrationDuration","Disabled","ReceivedSupportAs","BusinessType","BusinessMembers","ReceivedIOMBusinessAdvice","BusinessHasEmployees","EmployeeNumber","CoronaImpactOnBusiness","FirstChoice","MicroBusinessLevel","TrainingType","TrainingDuration","DateOfReturn","ReintegrationDate","ReturnToReintegration","AssistanceDuration"
"NE1019001266","2021-11-29","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Non","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","1","Non","En nature","Aviculture","Moi avec des migrants de retour","Oui","Oui","1","Oui Négativement","Oui","Collective","Non spécifié","1","2019/02/07 00:00:00","2019-01-01",-37,1062.9583333333333
"NE1019001271","2021-11-29","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Oui","OK","Côte D'Ivoire","Niger","Masculin","36-65 ans","0","Non","En nature","Agriculture","Moi avec des migrants de retour et des membres d’une communauté","Non","Non",NA,"Oui Négativement","Oui","Community","Non spécifié","1","2019/02/07 00:00:00","2018-10-15",-115,1140.9583333333333
"NE1019001280","2021-11-29","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Non","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","0","Non","En nature","Commerce","Moi uniquement","Non","Oui","1","Non","Oui","Individual","NULL","NULL","2019/02/07 00:00:00","2020-09-25",596,429.9583333333333
NA,"2021-11-03","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Oui","Oui régulièrement","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans","3","Non","En nature","Coiffure","Moi uniquement","Non","Oui","1","Oui Négativement","Oui",NA,NA,NA,NA,NA,NA,NA
"NE1019001287","2021-11-29","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Oui","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans","3","Non","En nature","Aviculture","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2019/02/07 00:00:00","2020-09-25",596,429.9583333333333
"NE1019001288","2021-11-29","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Oui","Non","Ne sait pas","Oui","Satisfait","Côte D'Ivoire","Algerie","Masculin","36-65 ans","1","Non","En nature","Commerce","Moi uniquement","Oui","Oui","1","Oui Négativement","Oui","Individual","NULL","NULL","2019/02/07 00:00:00","2020-12-15",677,348.9583333333333
"NE1019002641","2021-11-29","Par téléphone","Fermée","Non","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Niger","Masculin","36-65 ans","0","Oui","En nature","Commerce","Moi avec des migrants de retour et des membres d’une communauté","Non","Non",NA,"Non","Oui","Community","NULL","NULL","2019/10/29 00:00:00","2021-01-30",459,302.9583333333333
NA,"2021-11-30","Par téléphone","Actuellement ouvert et les activités marchent bien","Non","Non","Identique","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans","1","Non","En nature","Elevage","Moi uniquement","Non","Non",NA,"Oui Négativement","Oui",NA,NA,NA,NA,NA,NA,NA
"NE1019X000163","2021-11-30","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans","0","Non","En nature","Artisan-Ouvrier","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2019/01/07 00:00:00","2020-11-20",683,374.9583333333333
"NE1019X000165","2021-11-30","Par téléphone","Autre","Non","Non","Pire","Oui","OK","Côte D'Ivoire","Algerie","Masculin","18-35 ans","4","Non","En nature","Autre","Moi avec des migrants de retour et des membres d’une communauté","Oui","Non",NA,"Non","Oui","Community","Non spécifié","1","2019/01/07 00:00:00","2020-01-06",364,693.9583333333334
"NE1019X000168","2021-11-30","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","1","Non","En nature","Artisan-Ouvrier","Moi avec des migrants de retour","Non","Oui","1","Oui Négativement","Oui","Collective","Non spécifié","1","2019/01/07 00:00:00","2019-01-01",-6,1063.9583333333333
"NE1019X000169","2021-11-30","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Identique","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","3","Non","En nature","Commerce","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2019/01/07 00:00:00","2021-01-29",753,304.9583333333333
"NE1019X000174","2021-11-30","Par téléphone","Fermée","Partiellement","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans","3","Non","En nature","Commerce","Moi avec des migrants de retour","Non","Non",NA,"Non","Non","Individual","NULL","NULL","2019/01/07 00:00:00","2020-09-25",627,430.9583333333333
"NE1019X000184","2021-11-30","Par téléphone","Mon entreprise n’est pas encore ouverte","Non","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","1","Non","En nature","Restauration","Moi avec des migrants de retour et des membres d’une communauté","Oui","Souhaite ne pas répondre",NA,"Non","Oui","Community","Non spécifié","1","2019/01/07 00:00:00","2020-12-03",696,361.9583333333333
"NE1019X000189","2021-11-30","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Non","Non","Identique","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","1","Non","En nature","Artisan-Ouvrier","Moi avec des migrants de retour","Oui","Non",NA,"Non","Oui","Collective","Non spécifié","1","2019/01/07 00:00:00","2019-01-01",-6,1063.9583333333333
"NE1019X001057","2021-11-30","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Oui","Non","Pire","Oui","Pas satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans","0","Non","En nature","Commerce","Moi avec des migrants de retour et des membres d’une communauté","Oui","Non",NA,"Oui Négativement","Oui","Community","NULL","NULL","2019/01/15 00:00:00","2021-09-30",989,60.958333333333336
"NE1019X001265","2021-11-30","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","1","Non","En nature","Couture","Moi uniquement","Non","Non",NA,"Oui Négativement","Oui","Individual","NULL","NULL","2019/01/18 00:00:00","2020-12-02",684,362.9583333333333
"NE1019X001271","2021-12-01","Par téléphone","Autre","Non","Oui irrégulièrement","Mieux","Non","Pas du tout satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","2","Non","En nature","Commerce","Moi avec des migrants de retour et des membres d’une communauté","Non","Non",NA,"Oui Négativement","Non","Community","NULL","NULL","2019/01/18 00:00:00","2021-10-25",1011,36.958333333333336
"NE1019X001272","2021-12-01","Par téléphone","Autre","Partiellement","Non","Pire","Oui","Pas satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","0","Non","En nature","Elevage","Moi avec des migrants de retour","Non","Non",NA,"Oui Négativement","Oui","Collective","NULL","NULL","2019/01/18 00:00:00","2021-10-25",1011,36.958333333333336
"NE1019X001275","2021-12-01","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Oui régulièrement","Pire","Oui","Très satisfait","Côte D'Ivoire","Lybie","Masculin","18-35 ans","3","Oui","En nature","Aviculture","Moi uniquement","Oui","Non",NA,"Non","Non","Community","NULL","NULL","2019/01/18 00:00:00","2022-05-06",1204,-156.04166666666666
"NE1019X001276","2021-12-01","Par téléphone","Fermée","Non","Non","Ne sait pas","Non","OK","Côte D'Ivoire","Algerie","Masculin","18-35 ans","0","Non","En nature","Aviculture","Moi avec des migrants de retour et des membres d’une communauté","Oui","Non",NA,"Non","Oui","Community","NULL","NULL","2019/01/18 00:00:00","2021-09-30",986,61.958333333333336
"NE1019X001743","2021-12-01","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Oui régulièrement","Mieux","Oui","OK","Côte D'Ivoire","Algerie","Masculin","18-35 ans","1","Non","En espèces","Commerce","Moi uniquement","Oui","Non",NA,"Non","Oui","Individual","NULL","NULL","2019/01/23 00:00:00","2021-02-27",766,276.9583333333333
"NE1019X003951","2021-12-01","Par téléphone","Mon entreprise n’est pas encore ouverte","Non","Oui irrégulièrement","Pire","Oui","OK","Côte D'Ivoire","Algerie","Masculin","36-65 ans","0","Non","En nature","Commerce","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2019/02/20 00:00:00","2021-01-28",708,306.9583333333333
"NE1019X003956","2021-12-01","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans","0","Non","En nature","Commerce","Moi uniquement","Non","Non",NA,"Oui Négativement","Oui","Individual","NULL","NULL","2019/02/20 00:00:00","2021-01-29",709,305.9583333333333
"NE1019X003957","2021-12-01","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","0","Non","En nature","Commerce","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2019/02/20 00:00:00","2020-08-25",552,462.9583333333333
"NE1020X003439","2021-10-07","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Non","Satisfait","Sénégal","Lybie","Masculin","18-35 ans","3","Non","En nature","Couture","Moi uniquement","Non","Non",NA,"Oui Négativement","Oui","Individual","Business development/management training","1","2020/01/22 00:00:00","2022-03-22",790,-166.08333333333334
"ML1019X003784","2021-12-02","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Fermée","Non","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","1","Non","En nature","Aviculture","Moi avec des migrants de retour et des membres d’une communauté","Oui","Oui","Ne souhaite pas répondre","Oui Négativement","Oui","Community","Non spécifié","1","2018/04/29 00:00:00","2020-09-07",862,450.9583333333333
"NE1019X005185","2021-12-02","Par téléphone","Mon entreprise n’est pas encore ouverte","Non","Oui régulièrement","Identique","Non","Pas du tout satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","3","Non","En nature","Autre","Moi avec des migrants de retour et des membres d’une communauté","Non","Non",NA,"Non","Non","Community","Non spécifié","1","2019/02/27 00:00:00","2021-10-20",966,42.958333333333336
"NE1019X017545","2021-12-02","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","36-65 ans","2","Non","En nature","Aviculture","Moi uniquement","Oui","Oui","1","Oui Négativement","Oui","Individual","NULL","NULL","2018/01/29 00:00:00","2021-10-13",1353,49.958333333333336
"NE1019X017683","2021-12-02","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","2","Non","En nature","Commerce","Moi uniquement","Oui","Non",NA,"Non","Oui","Individual","NULL","NULL","2018/01/29 00:00:00","2022-05-06",1558,-155.04166666666666
"NE1019X017891","2021-12-02","Par téléphone","Mon entreprise n’est pas encore ouverte","Non","Non","Ne sait pas","Ne sait pas","Pas satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","0","Non","En nature","Agriculture","Moi avec des migrants de retour et des membres d’une communauté","Oui","Non",NA,"Non","Non","Collective","Non spécifié","1","2018/02/09 00:00:00","2018-08-01",173,1218.9583333333333
"NE1019X017901","2021-12-02","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","0","Non","En nature","Commerce","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2018/02/22 00:00:00","2021-09-15",1301,77.95833333333333
"NE1019X017921","2021-12-02","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Oui régulièrement","Identique","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","1","Non","En nature","Restauration","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2018/02/25 00:00:00","2021-07-28",1249,126.95833333333333
"NE1019X017991","2021-12-02","Par téléphone","Actuellement ouvert et les activités marchent bien","Partiellement","Non","Identique","Oui","Très satisfait","Côte D'Ivoire","Lybie","Masculin","18-35 ans","5","Oui","En nature","Artisan-Ouvrier","Moi uniquement","Oui","Non",NA,"Oui Négativement","Oui","Collective","Non spécifié","1","2018/02/22 00:00:00","2018-07-31",159,1219.9583333333333
"NE1019X017965","2021-12-02","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Oui","Non","Pire","N/A (retour non volontaire)","OK","Côte D'Ivoire","Algerie","Masculin","18-35 ans","0","Non","En nature","Commerce","Moi uniquement","Oui","Non",NA,"Non","Oui","Individual","NULL","NULL","2018/02/09 00:00:00","2018-12-14",308,1083.9583333333333
"ML1019X003283","2021-12-02","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Non","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","2","Non","En espèces","Aviculture","Moi uniquement","Oui","Oui","3","Non","Oui","Collective","Non spécifié","1","2018/05/09 00:00:00","2018-09-05",119,1183.9583333333333
"NE1019X018148","2021-12-03","Par téléphone","Fermée","Non","Non","Identique","Oui","Pas satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","2","Non","En nature","Aviculture","Moi avec des migrants de retour et des membres d’une communauté","Non","Non",NA,"Non","Non","Community","Non spécifié","1","2018/02/25 00:00:00","2019-04-09",408,968.9583333333334
"ML1019X003287","2021-12-02","Par téléphone","Fermée","Partiellement","Souhaite ne pas répondre","Pire","Non","Satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","1","Non","En nature","Aviculture","Moi avec des migrants de retour","Oui","Non",NA,"Non","Oui","Community","NULL","NULL","2018/05/04 00:00:00","2021-05-31",1123,184.95833333333334
"NE1019X018185","2021-12-03","Par téléphone","Mon entreprise n’est pas encore ouverte","Partiellement","Oui irrégulièrement","Identique","N/A (retour non volontaire)","Pas satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","2","Non","En nature","Aviculture","Moi uniquement","Non","Non",NA,"Non","Non","Individual","NULL","NULL","2018/02/22 00:00:00","2021-08-18",1273,106.95833333333333
"ML1019X003372","2021-12-03","Par téléphone","Fermée","Non","Non","Pire","Non","Satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","2","Non","En nature","Elevage","Moi avec des migrants de retour","Oui","Souhaite ne pas répondre",NA,"Non","Non","Community","Non spécifié","1","2018/05/13 00:00:00","2018-10-30",170,1129.9583333333333
"NE1019X018360","2021-12-03","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Non","Non","Identique","Oui","Pas satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans","5","Non","En nature","Commerce","Moi uniquement","Non","Non",NA,"Oui Négativement","Oui","Individual","NULL","NULL","2018/03/08 00:00:00","2021-06-28",1208,157.95833333333334
"ML1019X003374","2021-12-03","Par téléphone","Fermée","Non","Oui régulièrement","Pire","Non","Pas satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","4","Non","En nature","Elevage","Moi avec des migrants de retour","Oui","Souhaite ne pas répondre",NA,"Non","Non","Community","Non spécifié","1","2018/05/13 00:00:00","2018-10-30",170,1129.9583333333333
"NE1019X018417","2021-12-03","Par téléphone","Fermée","Non","Non","Identique","N/A (retour non volontaire)","OK","Côte D'Ivoire","Algerie","Masculin","18-35 ans","5","Non","En nature","Autre","Moi avec des migrants de retour et des membres d’une communauté","Oui","Non",NA,"Non","Non","Community","Non spécifié","1","2018/03/11 00:00:00","2019-04-01",386,976.9583333333334
"NE1019X018489","2021-12-04","Par téléphone","Mon entreprise n’est pas encore ouverte","Non","Non","Identique","Oui","Satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","1","Non","En espèces","Commerce","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2018/03/08 00:00:00","2021-11-09",1342,24.958333333333332
"NE1019X018522","2021-12-06","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","2","Non","En nature","Commerce","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2018/03/08 00:00:00","2021-09-24",1296,72.95833333333333
"NE1019X018525","2021-12-06","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","N/A (retour non volontaire)","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","3","Non","En nature","Commerce","Moi uniquement","Oui","Non",NA,"Oui Négativement","Oui","Individual","NULL","NULL","2018/03/08 00:00:00","2021-11-09",1342,26.958333333333332
NA,"2021-12-06","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","18-35 ans","2","Non","En nature","Commerce","Moi uniquement","Non","Non",NA,"Non","Oui",NA,NA,NA,NA,NA,NA,NA
"NE1019X018650","2021-12-06","Par téléphone","Mon entreprise n’est pas encore ouverte","Non","Non","Pire","Oui","OK","Côte D'Ivoire","Algerie","Masculin","18-35 ans","1","Non","En espèces","Commerce","Moi avec des migrants de retour","Oui","Non",NA,"Oui Négativement","Oui","Collective","NULL","NULL","2018/03/04 00:00:00","2020-08-26",906,466.9583333333333
"MA1020003610","2021-12-06","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","18-35 ans","2","Non","En espèces","Bâtiment/construction","Moi uniquement","Non","Oui","4 et plus","Non","Oui","Individual","NULL","NULL","2020/12/03 00:00:00","2021-05-05",153,214.95833333333334
"NE1019X019078","2021-12-06","Par téléphone","Autre","Non","Oui régulièrement","Identique","Oui","OK","Côte D'Ivoire","Algerie","Masculin","18-35 ans","2","Non","En nature","Bâtiment/construction","Moi uniquement","Oui","Non",NA,"Non","Non","Individual","Non spécifié","1","2018/03/11 00:00:00","2018-09-05",178,1187.9583333333333
"MA1020003603","2021-12-06","Par téléphone",NA,NA,"Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Féminin","18-35 ans","1","Non","En espèces",NA,NA,NA,NA,NA,NA,"Oui","Individual","NULL","NULL","2020/12/03 00:00:00","2022-04-27",510,-142.04166666666666
"NE1019X019294","2021-12-06","Par téléphone","Fermée","Non","Oui régulièrement","Pire","Non","Pas satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","0","Non","En nature","Commerce","Moi avec des migrants de retour","Non","Non",NA,"Oui Négativement","Oui","Collective","NULL","NULL","2018/03/30 00:00:00","2021-10-25",1305,41.958333333333336
"NE1019X019474","2021-12-06","Par téléphone","Autre","Non","Non","Identique","Oui","Pas satisfait","Côte D'Ivoire","Lybie","Masculin","36-65 ans","1","Non","En nature","Aviculture","Moi avec des migrants de retour et des membres d’une communauté","Non","Non",NA,"Non","Non","Community","Non spécifié","1","2018/03/30 00:00:00","2019-12-01",611,735.9583333333334
"MA1020003584","2021-12-06","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Féminin","18-35 ans","1","Non","En espèces","Commerce","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2020/12/03 00:00:00","2022-05-06",519,-151.04166666666666
"MA1020003577","2021-12-06","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","18-35 ans",NA,"Non","En espèces","Commerce","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2020/12/03 00:00:00","2021-05-03",151,216.95833333333334
"NE1019X019555","2021-12-06","Par téléphone","Fermée","Non","Oui irrégulièrement","Identique","Non","Pas du tout satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","1","Non","En nature","Aviculture","Moi avec des migrants de retour et des membres d’une communauté","Oui","Non",NA,"Non","Non","Community","Non spécifié","1","2018/03/25 00:00:00","2019-04-09",380,971.9583333333334
"MA1020003548","2021-12-06","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","18-35 ans","2","Non","En espèces","Elevage","Moi uniquement","Non","Oui","2","Non","Oui","Individual","NULL","NULL","2021/01/01 00:00:00","2021-05-28",147,191.95833333333334
"NE1019X019606","2021-12-06","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Non","Non","Mieux","Oui","Pas du tout satisfait","Côte D'Ivoire","Algerie","Masculin","36-65 ans","2","Non","En nature","Aviculture","Moi avec des migrants de retour et des membres d’une communauté","Oui","Non",NA,"Non","Oui","Community","Non spécifié","1","2018/03/27 00:00:00","2020-12-02",981,368.9583333333333
"NE1019X019825","2021-12-06","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Oui","Non","Identique","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","1","Non","En nature","Aviculture","Moi avec des migrants de retour et des membres d’une communauté","Oui","Non",NA,"Non","Oui","Community","Non spécifié","1","2018/04/07 00:00:00","2018-11-01",208,1130.9583333333333
"NE1019X019852","2021-12-06","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Identique","Oui","Satisfait","Côte D'Ivoire","Algerie","Masculin","36-65 ans","3","Non","En espèces","Aviculture","Moi uniquement","Non","Non",NA,"Non","Oui","Community","NULL","NULL","2018/04/22 00:00:00","2021-10-28",1285,38.958333333333336
"NE1019X019957","2021-12-06","Par téléphone","Mon entreprise n’est pas encore ouverte","Partiellement","Non","Identique","Oui","Satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","2","Non","En nature","Aviculture","Moi avec des migrants de retour et des membres d’une communauté","Oui","Non",NA,"Non","Oui","Community","Non spécifié","1","2018/04/08 00:00:00","2019-04-09",366,971.9583333333334
"MA1020003537","2021-12-07","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","36-65 ans",NA,"Non","En espèces","Couture","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2020/12/31 00:00:00","2021-09-08",251,89.95833333333333
"NE1019X020345","2021-12-07","Par téléphone","Fermée","Non","Non","Identique","Oui","Satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","2","Non","En nature","Aviculture","Moi avec des migrants de retour et des membres d’une communauté","Oui","Non",NA,"Non","Non","Community","Non spécifié","1","2018/04/22 00:00:00","2021-06-11",1146,178.95833333333334
"CI1020001486","2021-12-07","Par téléphone","Fermée","Non","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Lybie","Masculin","18-35 ans",NA,"Non","En nature","Couture","Moi avec des migrants de retour","Oui","Oui","3","Non","Oui","Collective","Non spécifié","1","2017/11/27 00:00:00","2018-07-04",219,1251.9583333333333
"NE1019X020373","2021-12-07","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Oui","Non","Identique","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","1","Non","En espèces","Commerce","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2018/05/12 00:00:00","2021-05-06",1090,214.95833333333334
"CI1020001487","2021-12-07","Par téléphone","Fermée","Non","Non","Pire","Oui","Pas satisfait","Côte D'Ivoire","Mali","Masculin","18-35 ans","1","Non","En espèces","Couture","Moi avec des migrants de retour","Oui","Oui","3","Non","Oui","Collective","Non spécifié","1","2017/11/23 00:00:00","2018-07-04",223,1251.9583333333333
"NE1019X020606","2021-12-07","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Oui","Oui régulièrement","Ne sait pas","N/A (retour non volontaire)","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","7","Non","En espèces","Commerce","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2018/05/18 00:00:00","2021-05-20",1098,200.95833333333334
"NE1019X020617","2021-12-07","Par téléphone","Autre","Partiellement","Non","Identique","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","1","Non","En espèces","Elevage","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2018/04/30 00:00:00","2021-10-21",1270,46.958333333333336
"CI1020001514","2021-12-07","Par téléphone","Fermée","Non","Non","Identique","Oui","Pas du tout satisfait","Côte D'Ivoire","Lybie","Masculin","18-35 ans",NA,"Non","En espèces","Commerce","Moi avec des migrants de retour","Oui","Non",NA,"Non","Non","Collective","Non spécifié","1","2018/09/05 00:00:00","2018-10-31",56,1132.9583333333333
"NE1019X020743","2021-12-07","Par téléphone","Mon entreprise n’est pas encore ouverte","Non","Non","Pire","N/A (retour non volontaire)","OK","Côte D'Ivoire","Algerie","Masculin","18-35 ans","2","Non","En espèces","Commerce","Moi uniquement","Oui","Non",NA,"Non","Oui","Individual","NULL","NULL","2018/04/30 00:00:00","2021-09-08",1227,89.95833333333333
"NE1019X020778","2021-12-07","Par téléphone","Autre","Non","Non","Identique","Oui","OK","Côte D'Ivoire","Algerie","Masculin","36-65 ans","0","Non","En nature","N'a pas recu l'argent du microbusiness","Moi uniquement","Oui","Non",NA,"Non","Non","Individual","Non spécifié","1","2018/04/30 00:00:00","2018-09-05",128,1188.9583333333333
"CI1020001517","2021-12-07","Par téléphone","Fermée","Non","Non","Pire","Non","Pas satisfait","Côte D'Ivoire","Lybie","Masculin","18-35 ans",NA,"Non","En nature","Commerce","Moi avec des migrants de retour","Non","Oui","4 et plus","Oui Négativement","Oui","Collective","NULL","NULL","2017/10/01 00:00:00","2021-10-25",1485,42.958333333333336
"CI1020001513","2021-12-07","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Oui","Non","Pire","Oui","Pas satisfait","Côte D'Ivoire","Lybie","Masculin","36-65 ans","2","Non","En nature","Commerce","Moi avec des migrants de retour","Oui","Oui","2","Oui Négativement","Oui","Collective","Non spécifié","1","2018/01/01 00:00:00","2018-10-31",303,1132.9583333333333
"NE1019X020867","2021-12-07","Par téléphone","Actuellement ouvert et les activités marchent difficilement","Partiellement","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans","1","Non","En nature","Commerce","Moi uniquement","Non","Non",NA,"Non","Oui","Individual","NULL","NULL","2018/04/30 00:00:00","2021-05-19",1115,201.95833333333334
"NE1019X020957","2021-12-08","Par téléphone","Autre","Non","Oui irrégulièrement","Identique","Non","Pas satisfait","Côte D'Ivoire","Algerie","Masculin","36-65 ans","2","Non","En nature","N'a pas recu l'argent du microbusiness","Moi uniquement","Non","Souhaite ne pas répondre",NA,"Non","Non","Individual","NULL","NULL","2018/05/12 00:00:00","2022-04-30",1449,-143.04166666666666
"NE1019X021116","2021-12-08","Par téléphone","Actuellement ouvert et les activités marchent bien","Oui","Non","Pire","Oui","OK","Côte D'Ivoire","Algerie","Masculin","18-35 ans","2","Oui","En espèces","Commerce","Moi uniquement","Non","Oui","1","Non","Oui","Individual","NULL","NULL","2018/05/07 00:00:00","2021-06-09",1129,181.95833333333334
