"Project","InterviewType","BusinessSucess","BusinessProfitability","WouldMigrateAgain","SituationWithoutSupport","ReturningWasGoodDecision","SatisfiedWithReintegrationSupport","Country","CountryOfReturn","Gender","AgeGroup","MigrationDuration","Disabled","TrainingType","TimeToReceiveSupport","ReceivedSupportAs","AssistanceType","BusinessType","BusinessMembers","MicroBusinessLevel","SupportTotalValue","ReceivedIOMBusinessAdvice","BusinessHasEmployees","EmployeeNumber","CoronaImpactOnBusiness"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Lybie","Masculin","18-35 ans",5,"Non",NA,4,"En nature","Micro Business","Artisan-Ouvrier","Moi uniquement","Individual",600000,"Non","Non",NA,"Oui Négativement"
"JI","Par téléphone","Low","Low","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Lybie","Féminin","36-65 ans",0,"Non","Non spécifié",NA,"En nature","Micro Business","Commerce","Moi uniquement","Individual",NA,"Oui","Non",NA,"Oui Positivement"
"JI","Par téléphone","Low","High","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Lybie","Féminin","18-35 ans",3,"Non",NA,52,"En nature","Micro Business","Commerce","Moi uniquement","Individual",NA,"Non","Non",NA,"Oui Négativement"
"JI","Par téléphone","Low","Low","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Lybie","Féminin","36-65 ans",0,"Non",NA,16,"En nature","Micro Business","Commerce","Moi uniquement","Individual",800000,"Oui","Non",NA,"Oui Positivement"
"JI","Par téléphone","Low","High","Non","Pire","Non","Satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",0,"Non",NA,8,"En nature","Micro Business","Aviculture","Moi uniquement","Individual",600000,"Non","Non",NA,"Non"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Mali","Masculin","14-17 ans",0,"Non","Business development/management training",8,"En nature","Micro Business","Commerce","Moi uniquement","Individual",1500000,"Non","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",0,"Non",NA,12,"En espèces","Micro Business","Commerce","Moi uniquement","Individual",850000,"Non","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Oui régulièrement","Identique","Non","Pas satisfait","Côte D'Ivoire","Lybie","Féminin","18-35 ans",1,"Non","Non spécifié",NA,"En nature","Micro Business","Agriculture","Moi avec des migrants de retour et des membres d’une communauté","Community",NA,"Oui","Non",NA,"Non"
"JI","Par téléphone","Low","High","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Mauritanie","Masculin","36-65 ans",7,"Non",NA,16,"En nature","Micro Business","Aviculture","Moi uniquement","Individual",600000,"Non","Oui","1","Non"
"JI","Par téléphone","Low","Low","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Mauritanie","Masculin","36-65 ans",5,"Non","Non spécifié",12,"En nature","Micro Business","Elevage","Moi avec des migrants de retour","Community",NA,"Oui","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Mali","Masculin","36-65 ans",1,"Non",NA,12,"En nature","Micro Business","Commerce","Moi uniquement","Individual",580000,"Non","Non",NA,"Non"
"JI","Par téléphone","Low","High","Oui régulièrement","Pire","Oui","Très satisfait","Côte D'Ivoire","Mauritanie","Féminin","36-65 ans",2,"Non",NA,16,"En nature","Micro Business","Commerce","Moi uniquement","Individual",600000,"Non","Non",NA,"Oui Négativement"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Mauritanie","Féminin","14-17 ans",1,"Non","Other",12,"En nature","Micro Business","Restauration","Moi uniquement","Individual",1200000,"Non","Non",NA,"Non"
"JI","Par téléphone","Low","High","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Mauritanie","Féminin","36-65 ans",4,"Non","Business development/management training",8,"En espèces","Micro Business","Commerce","Moi uniquement","Community",1300000,"Non","Non",NA,"Non"
"JI","Par téléphone","Low","High","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Mauritanie","Féminin","18-35 ans",7,"Non",NA,16,"En nature","Micro Business","Commerce","Moi uniquement","Individual",1800000,"Non","Non",NA,"Oui Négativement"
"JI","Par téléphone","Low","Low","Non","Identique","Oui","Satisfait","Côte D'Ivoire","Lybie","Masculin","18-35 ans",NA,"Non","Non spécifié",NA,"En nature","Micro Business","Elevage","Moi avec des migrants de retour et des membres d’une communauté","Community",NA,"Oui","Oui","Ne souhaite pas répondre","Non"
"JI","Par téléphone","Low","Low","Non","Identique","Oui","Satisfait","Côte D'Ivoire","Lybie","Masculin","18-35 ans",2,"Non","Non spécifié",24,"En nature","Micro Business","Aviculture","Moi avec des migrants de retour et des membres d’une communauté","Community",NA,"Oui","Oui","4 et plus","Oui Négativement"
"JI","Par téléphone","Low","Low","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Lybie","Masculin","18-35 ans",5,"Non",NA,40,"En nature","Micro Business","Commerce","Moi et membres de la communauté","Community",600000,"Non","Oui","1","Non"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Autre","Masculin","18-35 ans",3,"Non","Non spécifié",NA,"En espèces","Micro Business","Elevage","Moi uniquement","Individual",600000,"Oui","Oui","3","Non"
"JI","Par téléphone","Low","High","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","36-65 ans",3,"Non",NA,8,"En nature","Micro Business","Autre","Moi avec des migrants de retour","Individual",800000,"Oui","Non",NA,"Non"
"JI","Par téléphone","Low","High","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Algerie","Féminin","36-65 ans",3,"Non",NA,8,"En nature","Micro Business","Autre","Moi avec des migrants de retour","Individual",800000,"Non","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Niger","Féminin","18-35 ans",0,"Non",NA,10,"En nature","Micro Business","Commerce","Moi uniquement","Individual",800000,"Non","Non",NA,"Non"
"JI","Par téléphone","High","Low","Oui régulièrement","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans",4,"Non",NA,52,"En nature","Micro Business","Aviculture","Moi uniquement","Individual",2000000,"Oui","Non",NA,"Oui Négativement"
"JI","Par téléphone","Low","Low","Non","Pire","Oui","Satisfait","Niger","Niger","Féminin","36-65 ans",4,"Non",NA,8,"En nature","Micro Business","Restauration","Moi uniquement","Individual",400000,"Non","Non",NA,"Oui Négativement"
"JI","Par téléphone","Low","Low","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Lybie","Masculin","36-65 ans",1,"Non","Non spécifié",NA,"En nature","Micro Business","Aviculture","Moi avec des migrants de retour et des membres d’une communauté","Collective",2000000,"Oui","Oui","4 et plus","Oui Négativement"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Féminin","18-35 ans",0,"Non","Business development/management training",16,"En nature","Micro Business","Commerce","Moi uniquement","Individual",600000,"Non","Non",NA,"Non"
"JI","Par téléphone","High","High","Non","Pire","Non","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",1,"Non","Non spécifié",8,"En nature","Micro Business","Aviculture","Moi avec des migrants de retour","Collective",3700000,"Oui","Oui","1","Oui Négativement"
"JI","Par téléphone","Low","Low","Non","Pire","Oui","OK","Côte D'Ivoire","Niger","Masculin","36-65 ans",0,"Non","Non spécifié",16,"En nature","Micro Business","Agriculture","Moi avec des migrants de retour et des membres d’une communauté","Community",120000,"Non","Non",NA,"Oui Négativement"
"JI","Par téléphone","High","High","Non","Pire","Non","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",0,"Non",NA,16,"En nature","Micro Business","Commerce","Moi uniquement","Individual",600000,"Non","Oui","1","Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","High","Oui régulièrement","Pire","Oui","Très satisfait","Ghana","Lybie","Masculin","18-35 ans",3,"Non",NA,25,"En nature","Micro Business","Coiffure - Salon de beauté","Moi uniquement","Individual",NA,"Non","Oui","1","Oui Négativement"
"JI","Par téléphone","Low","High","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans",3,"Non",NA,10,"En nature","Micro Business","Aviculture","Moi uniquement","Individual",600000,"Non","Non",NA,"Non"
"JI","Par téléphone","Low","High","Non","Ne sait pas","Oui","Satisfait","Côte D'Ivoire","Algerie","Masculin","36-65 ans",1,"Non",NA,40,"En nature","Micro Business","Commerce","Moi uniquement","Individual",600000,"Oui","Oui","1","Oui Négativement"
"JI","Par téléphone","Low","Low","Non","Pire","Oui","Pas satisfait","Côte D'Ivoire","Niger","Féminin","18-35 ans",0,"Non",NA,16,"En nature","Micro Business","Autre","Moi avec des migrants de retour et des membres d’une communauté","Community",330000,"Non","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Niger","Masculin","36-65 ans",0,"Oui",NA,8,"En nature","Micro Business","Commerce","Moi avec des migrants de retour et des membres d’une communauté","Community",600000,"Non","Non",NA,"Non"
"JI","Par téléphone","High","Low","Non","Identique","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans",1,"Non",NA,12,"En nature","Micro Business","Elevage","Moi uniquement","Individual",500000,"Non","Non",NA,"Oui Négativement"
"JI","Par téléphone","Low","Low","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans",0,"Non",NA,12,"En nature","Micro Business","Artisan-Ouvrier","Moi uniquement","Individual",NA,"Non","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Non","Pire","Oui","OK","Côte D'Ivoire","Algerie","Masculin","18-35 ans",4,"Non","Non spécifié",40,"En nature","Micro Business","Artisan-Ouvrier","Moi avec des migrants de retour et des membres d’une communauté","Community",1000000,"Oui","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",1,"Non","Non spécifié",12,"En nature","Micro Business","Artisan-Ouvrier","Moi avec des migrants de retour","Collective",NA,"Non","Oui","1","Oui Négativement"
"JI","Par téléphone","High","High","Non","Identique","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",3,"Non",NA,8,"En nature","Micro Business","Commerce","Moi uniquement","Individual",600000,"Non","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans",3,"Non",NA,10,"En nature","Micro Business","Commerce","Moi avec des migrants de retour","Individual",4000000,"Non","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",1,"Non","Non spécifié",12,"En nature","Micro Business","Restauration","Moi avec des migrants de retour et des membres d’une communauté","Community",NA,"Oui","Souhaite ne pas répondre",NA,"Non"
"JI","Par téléphone","Low","Low","Non","Identique","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",1,"Non","Non spécifié",40,"En nature","Micro Business","Artisan-Ouvrier","Moi avec des migrants de retour","Collective",NA,"Oui","Non",NA,"Non"
"JI","Par téléphone","Low","High","Non","Pire","Oui","Pas satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans",0,"Non",NA,8,"En nature","Micro Business","Commerce","Moi avec des migrants de retour et des membres d’une communauté","Community",NA,"Oui","Non",NA,"Oui Négativement"
"JI","Par téléphone","High","Low","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",1,"Non",NA,NA,"En nature","Micro Business","Couture","Moi uniquement","Individual",NA,"Non","Non",NA,"Oui Négativement"
"JI","Par téléphone","Low","Low","Oui irrégulièrement","Mieux","Non","Pas du tout satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",2,"Non",NA,12,"En nature","Micro Business","Commerce","Moi avec des migrants de retour et des membres d’une communauté","Community",NA,"Non","Non",NA,"Oui Négativement"
"JI","Par téléphone","Low","Low","Non","Pire","Oui","Pas satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",0,"Non",NA,16,"En nature","Micro Business","Elevage","Moi avec des migrants de retour","Collective",1500000,"Non","Non",NA,"Oui Négativement"
"JI","Par téléphone","High","High","Oui régulièrement","Pire","Oui","Très satisfait","Côte D'Ivoire","Lybie","Masculin","18-35 ans",3,"Oui",NA,10,"En nature","Micro Business","Aviculture","Moi uniquement","Community",NA,"Oui","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Non","Ne sait pas","Non","OK","Côte D'Ivoire","Algerie","Masculin","18-35 ans",0,"Non",NA,20,"En nature","Micro Business","Aviculture","Moi avec des migrants de retour et des membres d’une communauté","Community",NA,"Oui","Non",NA,"Non"
"JI","Par téléphone","High","Low","Oui régulièrement","Mieux","Oui","OK","Côte D'Ivoire","Algerie","Masculin","18-35 ans",1,"Non",NA,52,"En espèces","Micro Business","Commerce","Moi uniquement","Individual",600000,"Oui","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Oui irrégulièrement","Pire","Oui","OK","Côte D'Ivoire","Algerie","Masculin","36-65 ans",0,"Non",NA,0,"En nature","Micro Business","Commerce","Moi uniquement","Individual",NA,"Non","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans",0,"Non",NA,8,"En nature","Micro Business","Commerce","Moi uniquement","Individual",300000,"Non","Non",NA,"Oui Négativement"
"JI","Par téléphone","Low","Low","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",0,"Non",NA,8,"En nature","Micro Business","Commerce","Moi uniquement","Individual",500000,"Non","Non",NA,"Non"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","High","Low","Non","Pire","Non","Satisfait","Sénégal","Lybie","Masculin","18-35 ans",0,"Non","Business development/management training",104,"En nature","Micro Business","Couture","Moi uniquement","Individual",500000,"Non","Non",NA,"Oui Négativement"
"JI","Sur le terrain (lieu de travail ou d’habitation du migrant…)","Low","Low","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",1,"Non","Non spécifié",NA,"En nature","Micro Business","Aviculture","Moi avec des migrants de retour et des membres d’une communauté","Community",NA,"Oui","Oui","Ne souhaite pas répondre","Oui Négativement"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","36-65 ans",2,"Non",NA,16,"En nature","Micro Business","Aviculture","Moi uniquement","Individual",750000,"Oui","Oui","1","Oui Négativement"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",2,"Non",NA,40,"En nature","Micro Business","Commerce","Moi uniquement","Individual",600000,"Oui","Non",NA,"Non"
"JI","Par téléphone","High","Low","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",0,"Non",NA,8,"En nature","Micro Business","Commerce","Moi uniquement","Individual",700000,"Non","Non",NA,"Non"
"JI","Par téléphone","High","High","Oui régulièrement","Identique","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",1,"Non",NA,8,"En nature","Micro Business","Commerce","Moi uniquement","Individual",710000,"Non","Non",NA,"Non"
"JI","Par téléphone","High","Low","Non","Identique","Oui","Très satisfait","Côte D'Ivoire","Lybie","Masculin","18-35 ans",5,"Oui","Non spécifié",56,"En nature","Micro Business","Artisan-Ouvrier","Moi uniquement","Collective",1200000,"Oui","Non",NA,"Oui Négativement"
"JI","Par téléphone","Low","High","Non","Pire","N/A (retour non volontaire)","OK","Côte D'Ivoire","Algerie","Masculin","18-35 ans",0,"Non",NA,12,"En nature","Micro Business","Commerce","Moi uniquement","Individual",NA,"Oui","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",2,"Non","Non spécifié",NA,"En espèces","Micro Business","Aviculture","Moi uniquement","Collective",NA,"Oui","Oui","3","Non"
"JI","Par téléphone","Low","Low","Non","Identique","Oui","Pas satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",2,"Non","Non spécifié",8,"En nature","Micro Business","Aviculture","Moi avec des migrants de retour et des membres d’une communauté","Community",NA,"Non","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Souhaite ne pas répondre","Pire","Non","Satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",2,"Non",NA,NA,"En nature","Micro Business","Aviculture","Moi avec des migrants de retour","Community",NA,"Oui","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Oui irrégulièrement","Identique","N/A (retour non volontaire)","Pas satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",2,"Non",NA,104,"En nature","Micro Business","Aviculture","Moi uniquement","Individual",850000,"Non","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Non","Pire","Non","Satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",2,"Non","Non spécifié",NA,"En nature","Micro Business","Elevage","Moi avec des migrants de retour","Community",NA,"Oui","Souhaite ne pas répondre",NA,"Non"
"JI","Par téléphone","Low","Low","Non","Identique","Oui","Pas satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans",5,"Non",NA,156,"En nature","Micro Business","Commerce","Moi uniquement","Individual",850000,"Non","Non",NA,"Oui Négativement"
"JI","Par téléphone","Low","Low","Oui régulièrement","Pire","Non","Pas satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",4,"Non","Non spécifié",NA,"En nature","Micro Business","Elevage","Moi avec des migrants de retour","Community",NA,"Oui","Souhaite ne pas répondre",NA,"Non"
"JI","Par téléphone","Low","Low","Non","Identique","N/A (retour non volontaire)","OK","Côte D'Ivoire","Algerie","Masculin","18-35 ans",5,"Non","Non spécifié",52,"En nature","Micro Business","Autre","Moi avec des migrants de retour et des membres d’une communauté","Community",NA,"Oui","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Non","Identique","Oui","Satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",1,"Non",NA,52,"En espèces","Micro Business","Commerce","Moi uniquement","Individual",850000,"Non","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Non","Identique","Ne sait pas","Pas satisfait","Côte D'Ivoire","Niger","Féminin","18-35 ans",3,"Non","Non spécifié",NA,"En nature","Micro Business","Agriculture","Moi avec des migrants de retour et des membres d’une communauté","Community",NA,"Non","Non",NA,"Non"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",2,"Non",NA,12,"En nature","Micro Business","Commerce","Moi uniquement","Individual",850000,"Non","Non",NA,"Non"
"JI","Par téléphone","High","High","Non","Pire","N/A (retour non volontaire)","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",3,"Non",NA,52,"En nature","Micro Business","Commerce","Moi uniquement","Individual",850000,"Oui","Non",NA,"Oui Négativement"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","18-35 ans",2,"Non",NA,NA,"En nature","Micro Business","Commerce","Moi uniquement","Individual",850000,"Non","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Non","Pire","Oui","OK","Côte D'Ivoire","Algerie","Masculin","18-35 ans",1,"Non",NA,16,"En espèces","Micro Business","Commerce","Moi avec des migrants de retour","Collective",1500000,"Oui","Non",NA,"Oui Négativement"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","18-35 ans",2,"Non",NA,NA,"En espèces","Micro Business","Commerce","Moi uniquement","Individual",750000,"Non","Oui","4 et plus","Non"
"JI","Par téléphone","Low","Low","Oui régulièrement","Pire","Non","Pas satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",0,"Non",NA,NA,"En nature","Micro Business","Commerce","Moi avec des migrants de retour","Collective",NA,"Non","Non",NA,"Oui Négativement"
"JI","Par téléphone","Low","Low","Non","Identique","Oui","Pas satisfait","Côte D'Ivoire","Lybie","Masculin","36-65 ans",1,"Non","Non spécifié",40,"En nature","Micro Business","Aviculture","Moi avec des migrants de retour et des membres d’une communauté","Community",NA,"Non","Non",NA,"Non"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Féminin","18-35 ans",1,"Non",NA,NA,"En espèces","Micro Business","Commerce","Moi uniquement","Individual",NA,"Non","Non",NA,"Non"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","18-35 ans",NA,"Non",NA,NA,"En espèces","Micro Business","Commerce","Moi uniquement","Individual",600000,"Non","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Oui irrégulièrement","Identique","Non","Pas du tout satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",1,"Non","Non spécifié",10,"En nature","Micro Business","Aviculture","Moi avec des migrants de retour et des membres d’une communauté","Community",NA,"Oui","Non",NA,"Non"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","18-35 ans",2,"Non",NA,NA,"En espèces","Micro Business","Commerce","Moi uniquement","Individual",680000,"Non","Oui","2","Non"
"JI","Par téléphone","Low","Low","Non","Mieux","Oui","Pas du tout satisfait","Côte D'Ivoire","Algerie","Masculin","36-65 ans",2,"Non","Non spécifié",NA,"En nature","Micro Business","Aviculture","Moi avec des migrants de retour et des membres d’une communauté","Community",NA,"Oui","Non",NA,"Non"
"JI","Par téléphone","Low","High","Non","Identique","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",1,"Non","Non spécifié",16,"En nature","Micro Business","Aviculture","Moi avec des migrants de retour et des membres d’une communauté","Community",NA,"Oui","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Non","Identique","Oui","Satisfait","Côte D'Ivoire","Algerie","Masculin","36-65 ans",3,"Non",NA,36,"En espèces","Micro Business","Aviculture","Moi uniquement","Community",825000,"Non","Non",NA,"Non"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Maroc","Masculin","36-65 ans",NA,"Non",NA,NA,"En espèces","Micro Business","Couture","Moi uniquement","Individual",500000,"Non","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Non","Identique","Oui","Satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",2,"Non","Non spécifié",52,"En nature","Micro Business","Aviculture","Moi avec des migrants de retour et des membres d’une communauté","Community",NA,"Oui","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Lybie","Masculin","18-35 ans",NA,"Non","Non spécifié",NA,"En nature","Micro Business","Couture","Moi avec des migrants de retour","Collective",800000,"Oui","Oui","3","Non"
"JI","Par téléphone","Low","High","Non","Identique","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",1,"Non",NA,NA,"En espèces","Micro Business","Commerce","Moi uniquement","Individual",600000,"Non","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Non","Pire","Oui","Pas satisfait","Côte D'Ivoire","Mali","Masculin","18-35 ans",1,"Non","Non spécifié",NA,"En espèces","Micro Business","Couture","Moi avec des migrants de retour","Collective",NA,"Oui","Oui","3","Non"
"JI","Par téléphone","Low","High","Oui régulièrement","Ne sait pas","N/A (retour non volontaire)","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",7,"Non",NA,8,"En espèces","Micro Business","Commerce","Moi uniquement","Individual",600000,"Non","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Non","Identique","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",1,"Non",NA,12,"En espèces","Micro Business","Aviculture","Moi uniquement","Individual",700000,"Non","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Non","Identique","Oui","Pas du tout satisfait","Côte D'Ivoire","Lybie","Masculin","18-35 ans",NA,"Non","Non spécifié",NA,"En espèces","Micro Business","Commerce","Moi avec des migrants de retour","Collective",3000000,"Oui","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Non","Pire","N/A (retour non volontaire)","OK","Côte D'Ivoire","Algerie","Masculin","18-35 ans",2,"Non",NA,156,"En espèces","Micro Business","Commerce","Moi uniquement","Individual",845000,"Oui","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Non","Pire","Non","Pas satisfait","Côte D'Ivoire","Lybie","Masculin","18-35 ans",NA,"Non",NA,NA,"En nature","Micro Business","Commerce","Moi avec des migrants de retour","Collective",NA,"Non","Oui","4 et plus","Oui Négativement"
"JI","Par téléphone","Low","High","Non","Pire","Oui","Pas satisfait","Côte D'Ivoire","Lybie","Masculin","36-65 ans",2,"Non","Non spécifié",NA,"En nature","Micro Business","Commerce","Moi avec des migrants de retour","Collective",NA,"Oui","Oui","2","Oui Négativement"
"JI","Par téléphone","Low","Low","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",1,"Non",NA,30,"En nature","Micro Business","Commerce","Moi uniquement","Individual",600000,"Non","Non",NA,"Non"
"JI","Par téléphone","Low","Low","Oui irrégulièrement","Identique","Non","Pas satisfait","Côte D'Ivoire","Algerie","Masculin","36-65 ans",2,"Non",NA,NA,"En nature","Micro Business","Autre","Moi uniquement",NA,NA,"Non","Souhaite ne pas répondre",NA,"Non"
"JI","Par téléphone","High","High","Non","Pire","Oui","OK","Côte D'Ivoire","Algerie","Masculin","18-35 ans",2,"Oui",NA,12,"En espèces","Micro Business","Commerce","Moi uniquement","Individual",600000,"Non","Oui","1","Non"
"JI","Par téléphone","High","High","Non","Pire","N/A (retour non volontaire)","Très satisfait","Côte D'Ivoire","Niger","Masculin","18-35 ans",2,"Non",NA,8,"En espèces","Micro Business","Commerce","Moi uniquement",NA,600000,"Non","Non",NA,"Non"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",0,"Non",NA,4,"En espèces","Micro Business","Commerce","Moi uniquement","Individual",600000,"Oui","Non",NA,"Oui Négativement"
"JI","Par téléphone","Low","Low","Non","Identique","Non","Satisfait","Côte D'Ivoire","Algerie","Masculin","36-65 ans",2,"Non",NA,12,"En espèces","Micro Business","Aviculture","Moi avec des migrants de retour et des membres d’une communauté","Community",NA,"Non","Non",NA,"Non"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",0,"Non",NA,156,"En espèces","Micro Business","Commerce","Moi uniquement","Individual",700000,"Non","Non",NA,"Non"
"JI","Par téléphone","High","High","Non","Pire","Oui","Très satisfait","Côte D'Ivoire","Algerie","Masculin","18-35 ans",0,"Non",NA,156,"En espèces","Micro Business","Commerce","Moi uniquement","Individual",600000,"Non","Oui","4 et plus","Oui Négativement"
"JI","Par téléphone","High","High","Non","Pire","Oui","Satisfait","Côte D'Ivoire","Lybie","Masculin","36-65 ans",2,"Non",NA,NA,"En espèces","Micro Business","Transport (Moto - Auto)","Moi uniquement","Individual",600000,"Non","Oui","2","Oui Positivement"
"JI","Par téléphone","Low","High","Non","Identique","N/A (retour non volontaire)","Très satisfait","Côte D'Ivoire","Algerie","Masculin","36-65 ans",2,"Non",NA,208,"En espèces","Micro Business","Commerce","Moi uniquement","Individual",800000,"Non","Oui","2","Non"
